Clear Download Manager — resolved Rust dependency license inventory
Generated from both desktop and native-host Cargo.lock files with cargo metadata --locked --all-features --filter-platform x86_64-pc-windows-msvc.
License expressions are declarations from each upstream Cargo package; OR means alternatives and AND means combined terms.
Resolved registry packages: 359

PROJECT | PACKAGE | VERSION | DECLARED LICENSE
desktop | windows | 0.61.3 | MIT OR Apache-2.0
desktop | windows_x86_64_msvc | 0.52.6 | MIT OR Apache-2.0
desktop | windows_x86_64_msvc | 0.53.1 | MIT OR Apache-2.0
desktop | windows-collections | 0.2.0 | MIT OR Apache-2.0
desktop | windows-core | 0.61.2 | MIT OR Apache-2.0
desktop | windows-future | 0.2.1 | MIT OR Apache-2.0
desktop | windows-implement | 0.60.2 | MIT OR Apache-2.0
desktop | windows-interface | 0.59.3 | MIT OR Apache-2.0
desktop | windows-link | 0.1.3 | MIT OR Apache-2.0
desktop | windows-link | 0.2.1 | MIT OR Apache-2.0
desktop | windows-numerics | 0.2.0 | MIT OR Apache-2.0
desktop | windows-result | 0.3.4 | MIT OR Apache-2.0
desktop | windows-strings | 0.4.2 | MIT OR Apache-2.0
desktop | windows-sys | 0.59.0 | MIT OR Apache-2.0
desktop | windows-sys | 0.60.2 | MIT OR Apache-2.0
desktop | windows-sys | 0.61.2 | MIT OR Apache-2.0
desktop | windows-targets | 0.52.6 | MIT OR Apache-2.0
desktop | windows-targets | 0.53.5 | MIT OR Apache-2.0
desktop | windows-threading | 0.1.0 | MIT OR Apache-2.0
desktop | windows-version | 0.1.7 | MIT OR Apache-2.0
desktop | winnow | 0.7.15 | MIT
desktop | winnow | 1.0.4 | MIT
desktop | winreg | 0.55.0 | MIT
desktop | writeable | 0.6.3 | Unicode-3.0
desktop | wry | 0.55.1 | Apache-2.0 OR MIT
desktop | yoke | 0.8.3 | Unicode-3.0
desktop | yoke-derive | 0.8.2 | Unicode-3.0
desktop | zerocopy | 0.8.55 | BSD-2-Clause OR Apache-2.0 OR MIT
desktop | zerofrom | 0.1.8 | Unicode-3.0
desktop | zerofrom-derive | 0.1.7 | Unicode-3.0
desktop | zeroize | 1.9.0 | Apache-2.0 OR MIT
desktop | zerotrie | 0.2.4 | Unicode-3.0
desktop | zerovec | 0.11.6 | Unicode-3.0
desktop | zerovec-derive | 0.11.3 | Unicode-3.0
desktop | zip | 4.6.1 | MIT
desktop | zmij | 1.0.23 | MIT
native-host | fs2 | 0.4.3 | MIT/Apache-2.0
native-host | itoa | 1.0.18 | MIT OR Apache-2.0
native-host | memchr | 2.8.3 | Unlicense OR MIT
native-host | serde_core | 1.0.229 | MIT OR Apache-2.0
native-host | serde_json | 1.0.151 | MIT OR Apache-2.0
native-host | winapi | 0.3.9 | MIT/Apache-2.0
native-host | zmij | 1.0.23 | MIT
